Gene	Accession No.	Species
AK	FJ042195	Melipona bicolor
AK	EU163077	Melipona bicolor bicolor
AK	FJ042197	Melipona bradleyi
AK	EU163061	Melipona captiosa
AK	EU163056	Melipona compressipes compressipes
AK	EU163047	Melipona compressipes interrupta
AK	EU163039	Melipona costaricaensis
AK	FJ042212	Melipona crinita
AK	FJ042211	Melipona eburnea
AK	FJ042222	Melipona fasciata
AK	FJ042223	Melipona fasciculata
AK	EU163046	Melipona favosa
AK	EU163037	Melipona fuliginosa
AK	EU163044	Melipona fulva
AK	EU163055	Melipona fuscopilosa
AK	DQ813051	Melipona grandis
AK	FJ042215	Melipona illota
AK	EU163064	Melipona illustris
AK	EU163063	Melipona lateralis
AK	EU163075	Melipona mandacaia
AK	FJ042196	Melipona marginata
AK	EU163029	Melipona melanopleura
AK	EU163054	Melipona melanoventer
AK	EU163058	Melipona micheneri
AK	EU163065	Melipona nebulosa
AK	EU163059	Melipona ogilviei
AK	EU163012	Melipona panamica
AK	EU163050	Melipona quadrifasciata anthidioides
AK	EU163074	Melipona quinquefasciata
AK	EU163051	Melipona rufiventris
AK	EU163068	Melipona rufiventris flavolineata
AK	EU163070	Melipona rufiventris rufiventris
AK	FJ042216	Melipona scutellaris
AK	EU163057	Melipona seminigra atrofulva
AK	FJ042217	Melipona seminigra merrillae
AK	EU163079	Melipona solani
AK	FJ042221	Melipona sp. B CR-2009
AK	EU163034	Melipona sp. MP127
AK	EU163067	Melipona sp. MP70
AK	EU163078	Melipona sp. MP85
AK	EU163081	Melipona sp. MP90
AK	EU163082	Melipona sp. MP91
AK	EU163084	Melipona sp. MP93
AK	EU163087	Melipona sp. MP96
AK	EU163089	Melipona sp. MP98
AK	FJ042213	Melipona titania
AK	EU163073	Melipona triplaridis
AK	FJ042194	Melipona tumupasae
AK	FJ042226	Melipona variegatipes
AK	DQ813052	Meliponula bocandei
AK	EU163031	Meliwillea bivea
AK	FJ042227	Mourella caerulea
AK	DQ813054	Nannotrigona melanocera
AK	FJ042229	Nannotrigona perilampoides
AK	FJ042228	Nannotrigona schultzei
AK	EU163017	Nannotrigona sp. MP104
AK	FJ042230	Nannotrigona testaceicornis
AK	FJ042231	Nogueirapis butteli
AK	FJ042232	Nogueirapis mirandula
AK	DQ813055	Odontotrigona haematoptera
AK	FJ042236	Oxytrigona mediorufa
AK	FJ042235	Oxytrigona mellicolor
AK	FJ042234	Oxytrigona mulfordi
AK	FJ042233	Oxytrigona obscura
AK	FJ042237	Oxytrigona tataira
AK	FJ042255	Parapartamona fumata
AK	FJ042256	Parapartamona tungurahuana
AK	FJ042246	Paratrigona guigliae
AK	FJ042247	Paratrigona lineata
AK	FJ042244	Paratrigona lineatifrons
AK	DQ813057	Paratrigona onorei
AK	FJ042245	Paratrigona pacifica
AK	DQ813056	Partamona auripennis
AK	FJ042239	Partamona epiphytophila
AK	FJ042243	Partamona musarum
AK	FJ042241	Partamona orizabaensis
AK	FJ042238	Partamona testacea
AK	FJ042240	Partamona vicina
AK	DQ813058	Platytrigona hobbyi
AK	FJ042252	Plebeia droryana
AK	EU163014	Plebeia franki
AK	DQ813059	Plebeia frontalis
AK	FJ042249	Plebeia minima
AK	FJ042251	Plebeia moureana
AK	FJ042253	Plebeia sp. A CR-2009
AK	FJ042248	Plebeia sp. B CR-2009
AK	FJ042250	Plebeia sp. C CR-2009
AK	FJ042254	Plebeia tobagoensis
AK	DQ813060	Plebeiella lendliana
AK	DQ813061	Plebeina hildebrandti
AK	FJ042258	Ptilotrigona lurida
AK	FJ042257	Ptilotrigona pereneae
AK	FJ042265	Scaptotrigona bipunctata
AK	FJ042266	Scaptotrigona depilis
AK	FJ042264	Scaptotrigona mexicana
AK	FJ042263	Scaptotrigona pectoralis
AK	DQ813063	Scaptotrigona polysticta
AK	FJ042259	Scaptotrigona sp. A CR-2009
AK	FJ042261	Scaptotrigona sp. B CR-2009
AK	FJ042260	Scaptotrigona sp. C CR-2009
AK	EU163015	Scaptotrigona sp. MP102
AK	EU163016	Scaptotrigona sp. MP103
