,Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor_65,IT_cor,BL,Bl_cor
64,Apoidea,SpainBF559,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_elongatula,NA,NA,NA,-3.343872315,1.050821625,2.86,2.86,10.87,10.87
65,Apoidea,SpainBF572,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_chrysopyga,Female,NA,NA,-3.593569274,1.217875709,3.38,3.38,12.22,12.22
66,Apoidea,SpainBF585,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_chrysopyga,Female,NA,NA,-3.503230107,1.311031877,3.71,3.71,12.03,12.03
67,Apoidea,SpainBF586,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_hispanica,Male,NA,NA,-3.623091714,1.355835154,3.88,3.88,13.03,13.03
68,Apoidea,SpainBF593,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_aestivalis,Male,NA,NA,-2.891372258,1.523880024,4.59,4.59,16.37,16.37
69,Apoidea,SpainBF601,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_hispanica,Female,NA,NA,-2.186581417,1.877937165,6.54,6.54,21,21
70,Apoidea,SpainBF602,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_hispanica,Male,NA,NA,-2.177716111,1.876406943,6.53,6.53,22,22
71,Apoidea,SpainBF606,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_atroalba,Female,NA,NA,-3.167707538,1.300191662,3.67,3.67,13.54,13.54
72,Apoidea,SpainBF614,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Xylocopinae,Xylocopini,Xylocopa,NA,Xylocopa_cantabrita,NA,NA,NA,-4.439655748,0.871293366,2.39,2.39,8.65,8.65
73,Apoidea,SpainBF621,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,NA,Amegilla_quadrifasciata,Female,NA,NA,-2.737994077,1.413423029,4.11,4.11,13.82,13.82
74,Apoidea,SpainBF624,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,NA,Amegilla_quadrifasciata,Female,NA,NA,-3.721402646,1.156881197,3.18,3.18,12.65,12.65
75,Apoidea,SpainBF625,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Anthidini,Xylocopa,NA,Xylocopa_sticticum,Male,NA,NA,-3.128121462,1.297463147,3.66,3.66,14.26,14.26
76,Apoidea,SpainBF626,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Anthidini,Pseudoanthidium,NA,Pseudoanthidium_melanorum,Female,NA,NA,-3.543913684,1.238374231,3.45,3.45,12.18,12.18
77,Apoidea,SpainBF63,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_calcaratus,Female,NA,NA,-4.382026635,0.231111721,1.26,1.26,5.33,5.33
78,Apoidea,SpainBF634,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Osmia,NA,Osmia_bicornis,Male,NA,NA,-5.067205646,1.078409581,2.94,2.94,10.28,10.28
79,Apoidea,SpainBF638,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Osmia,NA,Osmia_submicans,Male,NA,NA,-3.48675527,1.202972304,3.33,3.33,11.55,11.55
