Reference,Source,Region,Location,Social_three,Social_strict,Nesting,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,IT,Spec.wgt,Type,N,Mean,Median,Max,VAR,VAR.TYPE,NOTES
Dhaliwal and Sharma (1973),NEW,Asia,India,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_cerana indica,2.7,NA,NPA,3779,,,900,,,
Dhaliwal and Sharma (1973),New,Asia,India,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_cerana indica,2.7,NA,NPA,3474,,,1100,,,
Dyer and Seeley (1991),GL07_S2,Asia,Thailand,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_dorsata,2.7,NA,FT,,1000,,,,,
Dyer and Seeley (1991),NEW,Asia,Thailand,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_dorsata,2.7,NA,N_S,,13200,,21800,,,
Menke (1954),GL07_S3,NorthAmerica,USA,SO,SO,Soil,Apoidea,Halictidae,Nomiinae,Nomiini,Nomia,,Nomia_melanderi,2.7,NA,FA,,1600,,,,,
Vansell and Todd (1946),GL07_S3,NorthAmerica,USA,SO,SO,Soil,Apoidea,Halictidae,Nomiinae,Nomiini,Nomia,,Nomia_melanderi,2.7,NA,FA,,2400,,,,,
Packer (1970),GL07_S3,NorthAmerica,USA,SO,SO,Soil,Apoidea,Halictidae,Nomiinae,Nomiini,Nomia,,Nomia_melanderi,2.7,NA,FA,,7100,,,,,
Bohart and Nye (1956),GL07_S3,NorthAmerica,USA,SO,SO,Soil,Apoidea,Halictidae,Nomiinae,Nomiini,Nomia,,Nomia_melanderi,2.7,NA,FA,,11300,,,,,
Packer (1970),GL07_S3,NorthAmerica,USA,SO,SO,Soil,Apoidea,Halictidae,Nomiinae,Nomiini,Nomia,,Nomia_melanderi,2.7,NA,PM,,1800,,,,,
Gathmann and Tscharntke (2002),GL07_S1,Europe,Germany6,SO,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_vaga,2.8,NA,H,,300,,500,,,
Gathmann and Tscharntke (2002) - Wesserling (1996),GL07_S3,Europe,Germany,AG,ES,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_vaga,2.8,NA,N_S,,300,,,,,
Gathmann and Tscharntke (2002) - Wesserling (1996),GL07_S3,Europe,Germany,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_lapponica,2.8,NA,N_S,,600,,,,,
Gathmann and Tscharntke (2002),GL07_S3,Europe,Germany,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_lapponica,2.8,NA,NSA,,400,,,,,
Roubik and Aluja (1983),GL07_S3,SouthAmerica,NA,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_fasciata,2.9,NA,H,,2100,,,,,
Kuhn-Neto et al. (2009),NEW,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_mandacaia,2.9,NA,FT,1637,1000,,2100,,,
Nieh and Roubik (1995),GL07_S3,SouthAmerica,Brazil,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_panamica,2.9,NA,FT,,100,,,,,
Abrol (1988),GL07_S1,Asia,India,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_flavipes,2.9,NA,H,,500,,800,,,
Kitamura and Maeta 1969,GL07_S1,Asia,Japan,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_corniforns,2.9,NA,H,,600,,800,,,
Gathmann and Tscharntke (2002) - Haeseler (1982),GL07_S3,Europe,Germany,AG,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_maritime,2.9,NA,N_S,,200,,,,,
Chmurzynski et al. (1998),GL07_S1,Europe,Poland,SO,SO,Soil,Apoidea,Melittidae,Dasypodainae,Megillina,Dasypoda,,Dasypoda_altercator,2.9,NA,H,,1700,,4000,,,
Gathmann and Tscharntke (2002) - Gebhardt and Rohr (1987),GL07_S3,Europe,Germany,AG,ES,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_cineraria,3,NA,N_S,,300,,,,,
Gathmann and Tscharntke (2002) - Gebhardt and Rohr (1987),GL07_S3,Europe,Germany,AG,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_clarkella,3.1,NA,N_S,,300,,,,,
Walther-Hellwig and Frankl (2000a),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_muscorum,3.1,NA,MR,,100,,500,,,
Walther-Hellwig and Frankl (2000b),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_muscorum,3.1,NA,MR,,500,,,,,
Walther-Hellwig and Frankl (2000a),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_muscorum,3.1,NA,PM,,700,,500,,,
Westrich (1996),GL07_S3,Europe,NA,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Tetraloniella,,Tetraloniella_dentata,3.1,NA,NPA,,100,,,,,
Michener (1974),GL07_S2,Europe,NA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,FT,,12000,,,,,
Dyer and Seeley (1991),GL07_S2,Europe,Europe,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,FT,,12500,,,,,
Steffan-Dewenter and Kuhn (2003),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,FT,379,1319,1076.3,,53.2,SD,
Steffan-Dewenter and Kuhn (2003),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,FT,610,1488,1144.8,,49.9,SD,
Steffan-Dewenter and Kuhn (2003),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,FT,379,1518.2,1184.4,,51.3,SD,
Steffan-Dewenter and Kuhn (2003),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,FT,1137,1526,1181.5,10037,37.2,SD,
Steffan-Dewenter and Kuhn (2003),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,FT,527,1569,1264.7,,55.6,SD,
Steffan-Dewenter and Kuhn (2003),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,FT,379,1786,1329,,96.6,SD,
Hagler et al. (2011),NEW,NorthAmerica,"Arizona, USA",ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,MR,260,738.1,,5983,732,SD,
Hagler et al. (2011),NEW,NorthAmerica,"Arizona, USA",ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,MR,392,864.9,,5983,919,SD,
Gary et al. (1972),Z2010_T1,Europe,,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,MR,131,,,915,,,
Gary et al. (1981),Z2010_T1,Europe,,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,MR,613,,,1100,,,
Danner et al. (2016),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WD,940,435,,,,,NA
Danner et al. (2016),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WD,407,469,,,,,NA
Danner et al. (2016),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WD,407,846,,,,,NA
Beekman and Ratnieks (2000),NEW,Europe,Sheffield England,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WD,,1000,750,,,,HIST (how to calculate?)
Danner et al. (2016),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WD,1347,1015,,,26,SE,
Couvillon et al. (2015),NEW,Europe,UK,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WD,922,1074,,,10.08,t-value,
Danner et al. (2016),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WD,940,1324,,,NA,,
Couvillon et al. (2015),NEW,Europe,UK,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WD,4562,1408,,,10.08,t-value,
Beekman and Ratnieks (2000),NEW,Europe,Sheffield England,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WD,,5500,6100,,,,HIST (how to calculate?)
Waddington et al. (1994),Z2010_T1,NorthAmerica,Canada,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WG,5,,,1413,,,
Visscher and Seeley (1982),Z2010_T1,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WG,NA,,,10100,,,
von Frisch (1967),Z2010_T1,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WG,NA,,,13500,,,
Danner et al. (2014),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WG/PM,129,589,,,41,SE,
Danner et al. (2014),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WG/PM,0,820,,,582,SE,
Danner et al. (2014),NEW,Europe,Germany,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera,3.3,NA,WG/PM,489,879,,,27,SE,
Michener (1974),GL07_S2,Africa,NA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera adonsonii,3.3,NA,FT,,2800,,,,,
Michener (1974),GL07_S2,Europe,NA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_mellifera mellifera,3.3,NA,FT,,2500,,,,,
Gathmann and Tscharntke (2002),GL07_S1,Europe,Germany,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_rufa,3.3,NA,H,,500,,900,,,
Osborne et al. (1999),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus_terrestris,3.5,NA,BT,,600,,,,,
Goulson and Stout (2001),GL07_S1,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,3.5,NA,H,,800,,800,,,
Knight et al. (2005),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,,Bombus_terrestris,3.5,NA,M,,1500,,,,,
Schaffer and Wratten (1994),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus_terrestris,3.5,NA,MR,,100,,,,,
Walther-Hellwig and Frankl (2000a),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus_terrestris,3.5,NA,MR,,1800,,1750,,,
Schaffer and Wratten (1994),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus_terrestris,3.5,NA,NPA,,700,,,,,
C. O’Toole (PC_2004),GL07_S3,Europe,UK,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus_terrestris,3.5,NA,PM,,2800,,,,,
Gathmann and Tscharntke (2002) - Molitor (1937),GL07_S3,Europe,Germany,AG,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,,Osmia_mustelina,3.5,NA,N_S,,1000,,,,,
Linsley and McSwain (1942),GL07_S3,NorthAmerica,USA,AG,SO,Soil,Apoidea,Apidae,Apinae,Anthophorini,Anthophora,,Anthophora_linsleyi,3.6,NA,PM,,1600,,,,,
Saville et al. (1997),GL07_S3,Europe,NA,ES,ES,Soil,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus_lucorum,3.6,NA,MR,463,400,,300,,,GRAPH - Fig 2
"Rau (1929, 1931)",GL07_S1,NorthAmerica,USA,AG,SO,Soil,Apoidea,Apidae,Apinae,Anthophorini,Anthophora,,Anthophora_abrupta,3.9,NA,H,,500,,2300,,,
