Superfamily,Tag,Region,Country,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL,ITxBL
Apoidea,ALLO-GER-546,Europe,Germany,Dipbach,Dipbach,10.124092,49.906236,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0588,0.036904,0.021896,3.683,17.75,65.37325
Apoidea,ALLO-GER-547,Europe,Germany,Opferbaum5,Opferbaum5,10.094319,49.925831,NA,17/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0831,0.036904,0.046196,4.55,19.716,89.7078
Apoidea,ALLO-GER-548,Europe,Germany,Opferbaum5,Opferbaum5,10.094319,49.925831,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0675,0.036904,0.030596,4.301,19.051,81.938351
Apoidea,ALLO-GER-549,Europe,Germany,Rieden2,Rieden2,10.057994,49.937231,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.06,0.036904,0.023096,3.965,18.14,71.9251
Apoidea,ALLO-GER-550,Europe,Germany,Bergtheim1,Bergtheim1,10.053631,49.900486,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0532,0.036904,0.016296,3.704,16.131,59.749224
Apoidea,ALLO-GER-551,Europe,Germany,Opferbaum5,Opferbaum5,10.094319,49.925831,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0716,0.036904,0.034696,4.75,20.023,95.10925
Apoidea,ALLO-GER-552,Europe,Germany,Prosselsheim4,Prosselsheim4,10.113375,49.850392,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Male,0.0461,0.036904,0.009196,2.808,13.48,37.85184
Apoidea,ALLO-GER-553,Europe,Germany,Opferbaum5,Opferbaum5,10.094319,49.925831,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0774,0.036904,0.040496,4.568,21.788,99.527584
Apoidea,ALLO-GER-554,Europe,Germany,Opferbaum5,Opferbaum5,10.094319,49.925831,NA,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Female,0.0756,0.036904,0.038696,4.638,21.933,101.725254
Apoidea,ALLO-GER-555,Europe,Germany,Bergtheim3,Bergtheim3,10.057294,49.902308,NA,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena NA,Male,0.0428,0.036904,0.005896,2.42,13.248,32.06016
