ID,Country,Spec.wgt,IT,Ancho_cabeza_mm,BL,Notes,Pollinator_sex,Pollinator_gen_sp,Taxa,Family,Subfamily,Tribe,Genus,Subgenus,Species
BF621,Spain,0.0647,4.11,5,13.82,NA,Female,Amegilla quadrifasciata,Bee,Apidae,Apinae,Anthophorini,Amegilla,NA,quadrifasciata
BF624,Spain,0.0242,3.18,4.73,12.65,NA,Female,Amegilla quadrifasciata,Bee,Apidae,Apinae,Anthophorini,Amegilla,NA,quadrifasciata
BF625,Spain,0.0438,3.66,3.82,14.26,NA,Male,Rhodanthidium sticticum,Bee,Megachilidae,Megachilinae,Anthidini,Rhodanthidium,NA,sticticum
BF626,Spain,0.0289,3.45,3.92,12.18,NA,Female,Pseudoanthidium melanorum,Bee,Megachilidae,Megachilinae,Anthidini,Pseudoanthidium,NA,melanorum
BF63,Spain,0.0125,1.26,1.63,5.33,NA,Female,Panurgus calcaratus,Bee,Andrenidae,Panurginae,Panurgini,Panurgus,NA,calcaratus
BF634,Spain,0.0063,2.94,3.27,10.28,NA,Male,Osmia bicornis,Bee,Megachilidae,Megachilinae,Osmiini,Osmia,NA,bicornis
BF638,Spain,0.0306,3.33,4.19,11.55,NA,Male,Osmia submicans,Bee,Megachilidae,Megachilinae,Osmiini,Osmia,NA,submicans
BF643,Spain,0.0166,3.1,3.67,9.26,NA,Male,Hoplitis adunca,Bee,Megachilidae,Megachilinae,Osmiini,Hoplitis,NA,adunca
BF66,Spain,0.0151,1.43,1.8,8.82,NA,Female,Lasioglossum imminutus,Bee,Halictidae,Halictinae,Halictini,Lasioglossum,NA,imminutus
BF690,Spain,0.0063,1.76,2.22,6.93,NA,Female,Heriades crenulatus,Bee,Megachilidae,Megachilinae,Osmiini,Heriades,NA,crenulatus
BF91,Spain,0.0195,2.37,2.55,11.23,NA,Male,Systropha planidens,Bee,Halictidae,Rophitinae,Rophitini,Systropha,NA,planidens
BF98,Spain,0.0083,2.44,2.61,9.8,NA,Male,Systropha planidens,Bee,Halictidae,Rophitinae,Rophitini,Systropha,NA,planidens
BF479,Spain,0.0196,3.36,NA,NA,NA,NA,Heliotaurus ruficollis,Beetle,,,,Heliotaurus,NA,ruficollis
BF482,Spain,0.0156,3.48,NA,NA,NA,NA,Exosoma lusitanicum,Beetle,,,,Exosoma,NA,lusitanicum
BF493,Spain,0.008,3.25,NA,NA,NA,NA,Chasmatopterus villosulus,Beetle,,,,Chasmatopterus,NA,vllosulus
BF500,Spain,0.0155,2.46,NA,NA,NA,Male,Cerocoma schaefferi,Beetle,,,,Cerocoma,NA,schaefferi
BF504,Spain,0.0146,2.48,NA,NA,NA,NA,Cerocoma schaefferi,Beetle,,,,Cerocoma,NA,schaefferi
BF507,Spain,0.0078,2.96,NA,NA,NA,NA,Opsilia coerulescens,Beetle,,,,Opsilia,NA,coerulescens
BF517,Spain,0.0525,7.2,NA,NA,NA,NA,Tropinota squalida,Beetle,,,,Tropinota,NA,squalida
BF522,Spain,0.0335,6.15,NA,NA,NA,NA,Oxythyrea funesta,Beetle,,,,Oxythyrea,NA,funesta
BF532,Spain,0.0043,2.01,NA,NA,NA,NA,Psilothrix viridicoerulea,Beetle,,,,Psilothrix,NA,viridicoerulea
BF540,Spain,0.0033,1.72,NA,NA,NA,NA,Malachius morpho1,Beetle,,,,Malachius,NA,morph1
BF672,Spain,0.0046,NA,NA,NA,NA,Male,Leptotes pirithous,Butterfly,,,,Leptotes,NA,pirithous
BF673,Spain,0.0055,NA,NA,NA,NA,NA,Cacyreus marshalli,Butterfly,,,,Cacyreus,NA,marshalli
BF677,Spain,0.0095,NA,NA,NA,NA,Female,Callophrys rubi,Butterfly,,,,Callophrys,NA,rubi
BF678,Spain,0.0166,NA,NA,NA,NA,Female,Callophrys rubi,Butterfly,,,,Callophrys,NA,rubi
BF355,Spain,0.0076,0.33,0.31,8.34,NA,Female,Bombylius torquatus,Fly,,,,Bombylius,NA,torquatus
BF358,Spain,0.0047,1.48,1.26,3.94,NA,Female,Usia morpho1,Fly,,,,Usia,NA,morph1
BF364,Spain,0.0058,1.88,1.98,6.14,NA,Male,Bombylella atra,Fly,,,,Bombylella,NA,atra
BF368,Spain,0.0228,3.9,3.93,9.68,NA,Female,Dischistus senex,Fly,,,,Dischistus,NA,senex
BF372,Spain,0.0526,5.48,5.89,18.62,NA,Male,Pangonius micans,Fly,,,,Pangonius,NA,micans
BF377,Spain,0.0135,2.24,2.78,10.84,NA,Male,Lomatia morpho1,Fly,,,,Lomatia,NA,morph1
BF386,Spain,0.0164,3.21,2.69,8.89,NA,Female,Systoechus morpho1,Fly,,,,Systoechus,NA,morph1
BF388,Spain,0.0016,1.97,1.36,8.62,NA,Female,Empis tessellata,Fly,,,,Empis,NA,tessellata
BF397,Spain,0.0317,4.16,4.45,11.86,NA,Female,Rhyncomyia cuprea,Fly,,,,Rhyncomyia,NA,cuprea
BF415,Spain,0.0581,4.55,5.4,13.74,NA,Female,Platynochaetus setosus,Fly,Syrphidae,Eristalinae,Merodontini,Platynochaetus,NA,setosus
BF417,Spain,0.0133,2.8,3.58,13.85,NA,Female,Episyrphus balteatus,Fly,Syrphidae,Syrphinae,Syrphini,Episyrphus,NA,baleatus
BF422,Spain,0.0432,5.99,6.42,18.83,NA,Female,Volucella elegans,Fly,Syrphidae,Eristalinae,Volucellini,Volucella,NA,elegans
BF425,Spain,0.0348,3.53,4.53,13.58,NA,Female,Eristalinus taeniops,Fly,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,taeniops
BF428,Spain,0.0047,1.58,2.04,10.35,NA,Male,Sphaerophoria scripta,Fly,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,NA,scripta
BF433,Spain,0.0017,3.46,3.88,12.68,NA,Male,Myathropa florea,Fly,Syrphidae,Eristalinae,Eristalini,Myathropa,NA,florea
BF450,Spain,0.0813,3.69,4.18,25,NA,Female,Dasypogon morpho1,Fly,,,,Dasypogon,NA,morph1
BF457,Spain,0.0404,3.24,3.68,22,NA,NA,Empis morpho2,Fly,,,,Empis,NA,morph2
BF463,Spain,0.0055,1.85,1.98,9.94,NA,Male,Syritta pipiens,Fly,Syrphidae,Eristalinae,Milesiini,Syritta,NA,pipiens
BF465,Spain,0.0071,2.99,3.17,10.05,NA,Male,Eristalinus megacephalus,Fly,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,megacephalus
BF467,Spain,0.031,3.48,NA,NA,NA,NA,Meloidae NA,NA,,,,Meloidae,NA,sp1
BF472,Spain,0.0197,3.85,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
BF682,Spain,0.0179,NA,NA,NA,NA,NA,Nemoptera bipennis,Other,,,,Nemoptera,NA,bipennis
BF174,Spain,0.0245,2.03,3.13,12.7,NA,Female,Macrophya montana,Wasp,,,,Macrophya,NA,montana
BF176,Spain,0.0088,1.98,3.01,12.64,NA,Female,Macrophya montana,Wasp,,,,Macrophya,NA,montana
BF349,Spain,0.0182,2.45,3.43,13.01,NA,Female,Cerceris arenaria,Wasp,,,,Cerceris,NA,arenaria
BF350,Spain,0.0054,1.43,1.93,6.25,NA,NA,Tachysphex panzeri,Wasp,,,,Tachysphex,NA,panzeri
BF351,Spain,0.0207,2.93,4.22,15.07,NA,Female,Philanthus triangulum,Wasp,,,,Philanthus,NA,triangulum
BF633,Spain,0.0159,2.29,2.96,10.73,NA,NA,Chrysura refulgens,Wasp,,,,Chrysura,NA,refulgens
BF633,Spain,0.0159,2.29,2.96,10.73,NA,Male,Chrysura refulgens,Wasp,,,,Chrysura,NA,refulgens
BF650,Spain,0.0738,3.84,4.72,12.28,NA,worker,Vespula germanica,Wasp,,,,Vespula,NA,germanica
BF654,Spain,0.0126,1.89,3.1,9.45,NA,NA,Tachysphex panzeri,Wasp,,,,Tachysphex,NA,panzeri
BF655,Spain,0.0287,4.1,4.72,17.24,NA,Male,Bembix oculata,Wasp,,,,Bembix,NA,oculata
BF656,Spain,0.0237,1.52,2.7,11.65,NA,NA,Arachnospila morpho1,Wasp,,,,Arachnospila,NA,morph1
