"","Family","Tribe","Country","Measurer","Subfamily","Genus","Species","Sex","Latitude","Spec.wgt","Wgt.SD","IT","IT.SD","Cane"
"60","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_hortorum","Female",47.3769,0.125796,NA,3.864,NA,0.0536665375686554
"61","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_humilis","Female",47.3769,0.048084,NA,3.9515,NA,0.0567172609776546
"62","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_hypnorum","Female",47.3769,0.090121,0.0311126983722081,3.7115,0.518309270609739,0.0485875290085069
"63","Apidae","Bombini","Britain","LK","Apinae","Bombus","Bombus_lapidarius","Female",51.46,0.061371,0.0112429978208661,3.28321433125,0.584777308041275,0.0358958853833246
"64","Apidae","Bombini","Germany","LK","Apinae","Bombus","Bombus_lapidarius","Female",10.06754725,0.03455,0.00338652793116659,3.6113361581875,0.146156447686334,0.0454138249039252
"65","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_lapidarius","Female",47.3769,0.08220225,0.0845676886188415,3.3622,0.841000063428412,0.0380659279471637
"66","Apidae","Bombini","Ireland","LR","Apinae","Bombus","Bombus_lapidarius","Female",53.31,0.037705,0.00469320040057955,4,0.252195757299761,0.0584516202051972
"67","Apidae","Bombini","Germany","LK","Apinae","Bombus","Bombus_lucorum","Female",10.06442549,0.061578,0.0179722759557687,3.64595707971,0.333033665658721,0.0464963789079783
"68","Apidae","Bombini","Ireland","LR","Apinae","Bombus","Bombus_lucorum","Female",53.31,0.0425888888888889,0.0145950714664612,4.9,0.432301974655595,0.0964746852536881
"69","Apidae","Bombini","Britain","LK","Apinae","Bombus","Bombus_pascuorum","Female",51.4733333333333,0.087101,0.0423585506809366,3.39535205111111,0.729054366794626,0.0389993992104826
"70","Apidae","Bombini","Germany","LK","Apinae","Bombus","Bombus_pascuorum","Female",10.07183415,0.088264,0.0457850556914226,4.123525578,0.894232259166115,0.0630100985103837
"71","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_pascuorum","Female",47.3769,0.0368575,0.0100317239046935,4.142,0.156270598642227,0.0637094232696961
"72","Apidae","Bombini","Ireland","LR","Apinae","Bombus","Bombus_pascuorum","Female",53.3066666666667,0.042396,0.0126587519132022,4.3,0.270061971501967,0.0698790822916587
"73","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_pratensis","Female",47.3769,0.0662474,0.0221114876206916,3.4805,0.642127479555267,0.0414588830762008
"74","Apidae","Bombini","Germany","LK","Apinae","Bombus","Bombus_pratorum","Female",10.0923326363636,0.098396,0.00848528137423857,3.42060758181818,0.417782904025161,0.0397195732395887
"75","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_pratorum","Female",47.3769,0.178596,NA,3.8338,NA,0.0526368282120621
"76","Apidae","Bombini","Ireland","LR","Apinae","Bombus","Bombus_pratorum","Female",53.31,0.100365833333333,0.0141589936141898,3.66666666666667,0.317557396386858,0.0471512073872326
"77","Apidae","Bombini","Germany","LK","Apinae","Bombus","Bombus_ruderarius","Female",10.089189,0.112771,0.0126083305794225,4.7801070265,0.132763888162407,0.0907506319801771
"78","Apidae","Bombini","Germany","LK","Apinae","Bombus","Bombus_rupestris","Female",10.017931,0.07531875,0.0227887170547181,5.487019938,0.489258349572374,0.127569271616842
"79","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_sylvarum","Female",47.3769,0.111283096774194,0.0684037267110279,4.6275,0.963837215987321,0.0837639392457415
"80","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_sylvestris","Female",47.3769,0.053936,0.00293449314192417,4.45725,0.0629325035256027,0.0763592304990186
"81","Apidae","Bombini","Spain","IB","Apinae","Bombus","Bombus_terrestris","Female",37.396355,0.031533333,NA,5.145,NA,0.108825800069729
"82","Apidae","Bombini","Britain","LK","Apinae","Bombus","Bombus_terrestris","Female",51.46,0.0635666663333333,0.031992238642104,4.450833626,0.953939201416946,0.076088109265409
"83","Apidae","Bombini","Germany","LK","Apinae","Bombus","Bombus_terrestris","Female",10.0644225483871,0.0424666663333333,0.0116689045472715,4.37182078851613,0.346410161513776,0.0727963559174075
"84","Apidae","Bombini","Switzerland","LK","Apinae","Bombus","Bombus_terrestris","Female",47.3769,0.0258000003333333,0.00258134331953991,3.4865,0.288675134594813,0.0416355745648103
"85","Apidae","Bombini","Ireland","LR","Apinae","Bombus","Bombus_terrestris","Female",53.31,0.0681000003333333,0.00185562208796224,4.9,0.264575131106459,0.096474685253688
"86","Apidae","Allodapini","Australia","LK","Xylocopinae","Braunsapis","Braunsapis_brasp1","Female",-14.9433333333333,0.001978,0.000859651092013498,1.16590472916667,0.111277312730628,0.00278514621809364
"87","Apidae","Allodapini","Australia","LK","Xylocopinae","Braunsapis","Braunsapis_brasp2","Female",-14.62,0.001528,NA,1.0054009,NA,0.001932084515374
"88","Apidae","Allodapini","Australia","LK","Xylocopinae","Braunsapis","Braunsapis_brasp3","Female",-29.9966666666667,0.00461283333333333,0.00219019608226932,1.47795570058333,0.18052776910372,0.00500220209504502
"89","Andrenidae","Calliopsini","USA","JC","Panurginae","Calliopsis","Calliopsis_andreniformis","Female",32.531318,0.005821,NA,1.5332,NA,0.00547661551453652
