,Superfamily,Tag,Region,Country,Measurer,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor,BL,Bl_cor
37,Syrphoidea,ALLO-AUS-101,Australasia,Australia,LK,COFFS,COFFSParminder,-30.09,153.16,0,23/05/2017,Bidens pilosa,Hand,Syrphidae,Eristalinae,Milesiini,Syrph,NA,Syrph_chasp1,Male,0.0443,0.038672,0.005628,3.16,1.940786099,15.24,9.359993716
38,Syrphoidea,ALLO-AUS-103,Australasia,Australia,LK,COFFS,COFFSKelly Potts,-30.14,153.19,0,23/05/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0476,0.038672,0.008928,3.538,2.172943423,14.403,8.845931069
39,Syrphoidea,ALLO-AUS-104,Australasia,Australia,LK,COFFS,COFFSParminder,-30.09,153.16,0,23/05/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Male,0.0404,0.038672,0.001728,2.217,1.361621133,10.097,6.201302923
40,Syrphoidea,ALLO-AUS-105,Australasia,Australia,LK,COFFS,COFFSKelly Potts,-30.14,153.19,0,23/05/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.043,0.038672,0.004328,2.931,1.800140524,12.353,7.586876796
41,Syrphoidea,ALLO-AUS-109,Australasia,Australia,LK,COFFS,COFFSHardip,-30.01,153.11,0,24/05/2017,Passiflora,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Female,0.0406,0.038672,0.001928,1.679,1.031196158,9.768,5.999240067
42,Syrphoidea,ALLO-AUS-110,Australasia,Australia,LK,COFFS,COFFSHardip,-30.01,153.11,0,24/05/2017,Passiflora,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0413,0.038672,0.002628,3.419,2.099856858,13.74,8.438734492
43,Syrphoidea,ALLO-AUS-111,Australasia,Australia,LK,COFFS,COFFSHardip,-30.01,153.11,0,24/05/2017,Passiflora,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0446,0.038672,0.005928,3.496,2.147148165,15.239,9.359379543
44,Syrphoidea,ALLO-AUS-113,Australasia,Australia,LK,COFFS,COFFSSherwood,-30.04,153.15,0,30/05/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0421,0.038672,0.003428,3.952,2.427210969,15.463,9.496954254
45,Syrphoidea,ALLO-AUS-114,Australasia,Australia,LK,COFFS,COFFSParminder,-30.09,153.16,0,25/05/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0448,0.038672,0.006128,4.307,2.645242319,15.493,9.515379438
46,Syrphoidea,ALLO-AUS-116,Australasia,Australia,LK,COFFS,COFFSKangaroo,-30.03,153.18,0,30/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0439,0.038672,0.005228,3.747,2.301305542,15.114,9.282607941
47,Syrphoidea,ALLO-AUS-117,Australasia,Australia,LK,COFFS,COFFSParminder,-30.09,153.16,0,25/05/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Male,0.0441,0.038672,0.005428,4.185,2.570313235,15.791,9.698402937
48,Syrphoidea,ALLO-AUS-119,Australasia,Australia,LK,COFFS,COFFSSherwood,-30.04,153.15,0,31/05/2017,Vaccinium,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0431,0.038672,0.004428,3.273,2.010187627,13.725,8.4295219
49,Syrphoidea,ALLO-AUS-123,Australasia,Australia,LK,COFFS,COFFSKelly Potts,-30.14,153.19,0,26/05/2017,Yellow inflorescene,Hand,Syrphidae,Eristalinae,Milesiini,Syrph,NA,Syrph_chasp1,Female,0.0471,0.038672,0.008428,3.528,2.166801695,15.44,9.482828279
50,Syrphoidea,ALLO-AUS-134,Australasia,Australia,LK,COFFS,COFFSKelly Potts,-30.14,153.19,0,26/05/2017,Westringia,Hand,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,Melangyna_melsp1,Female,0.0454,0.038672,0.006728,3.874,2.379305489,14.207,8.725553197
