Country,Family,Subfamily,Tribe,Species
Australia,Colletidae,Euryglossinae,Euryglossinae,Euryglossa_adelaidae
Australia,Colletidae,Colletinae,Colletini,Goniocolletes_perfasciatus
Australia,Colletidae,Hylaeinae,Halictina,Hylaeus_amiculus
Germany,Colletidae,Hylaeinae,Halictina,Hylaeus_angustatus
Germany,Colletidae,Hylaeinae,Halictina,Hylaeus_communis
Ireland,Colletidae,Hylaeinae,Halictina,Hylaeus_communis
Switzerland,Colletidae,Hylaeinae,Halictina,Hylaeus_cornutus
Germany,Colletidae,Hylaeinae,Halictina,Hylaeus_dilatatus
Australia,Colletidae,Hylaeinae,Halictina,Hylaeus_elegans
Germany,Colletidae,Hylaeinae,Halictina,Hylaeus_gredleri
Australia,Colletidae,Hylaeinae,Halictina,Hylaeus_kelvini
Germany,Colletidae,Hylaeinae,Halictina,Hylaeus_nigritus
Ireland,Colletidae,Hylaeinae,Halictina,Hylaeus_pectoralis
Germany,Colletidae,Hylaeinae,Halictina,Hylaeus_pictipes
Australia,Colletidae,Hylaeinae,Halictina,Hylaeus_primulipictus
Australia,Colletidae,Hylaeinae,Halictina,Hylaeus_rotundiceps
Australia,Colletidae,Colletinae,Paracolletini,Leioproctus_amabilis
Australia,Colletidae,Colletinae,Paracolletini,Leioproctus_clarki
Australia,Colletidae,Colletinae,Paracolletini,Leioproctus_flavomaculatus
Australia,Colletidae,Colletinae,Paracolletini,Leioproctus_leisp1
Australia,Colletidae,Colletinae,Paracolletini,Leioproctus_leisp3
Australia,Colletidae,Colletinae,Paracolletini,Leioproctus_obscurus
Switzerland,Halictidae,Halictinae,Halictini,Halictus_maculatus
Germany,Halictidae,Halictinae,Halictini,Halictus_malachurum
Germany,Halictidae,Halictinae,Halictini,Halictus_pauxillum
Ireland,Halictidae,Halictinae,Halictini,Halictus_rubicundus
Switzerland,Halictidae,Halictinae,Halictini,Halictus_rubincundus
Spain,Halictidae,Halictinae,Halictini,Halictus_scabiosae
Germany,Halictidae,Halictinae,Halictini,Halictus_scabiosae
Switzerland,Halictidae,Halictinae,Halictini,Halictus_scabiosae
Germany,Halictidae,Halictinae,Halictini,Halictus_simplex
Switzerland,Halictidae,Halictinae,Halictini,Halictus_simplex
Germany,Halictidae,Halictinae,Halictini,Halictus_subauratus
Switzerland,Halictidae,Halictinae,Halictini,Halictus_subauratus
Switzerland,Halictidae,Halictinae,Halictini,Halictus_tumolorum
Germany,Halictidae,Halictinae,Halictini,Halictus_tumulorum
Switzerland,Halictidae,Halictinae,Halictini,Halictus_tumulorum
Australia,Halictidae,Halictinae,Halictini,Homalictus_homsp1
Australia,Halictidae,Halictinae,Halictini,Homalictus_sphecodoides
Australia,Halictidae,Halictinae,Halictini,Homalictus_urbanus
Spain,Halictidae,Halictinae,Halictini,Lasioglossum_albocinctum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_bicingulatum
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_calceatum
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_calceatum
Ireland,Halictidae,Halictinae,Halictini,Lasioglossum_calceatum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_clelandi
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_convexum
Ireland,Halictidae,Halictinae,Halictini,Lasioglossum_cypromicans
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_eremaean
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_fulvicorne
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_glabriusculum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_globosum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_hemichalceum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_hiltacum
Spain,Halictidae,Halictinae,Halictini,Lasioglossum_imminutus
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_interruptum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lanarium
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lassp1
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lassp2
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lassp3
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lassp4
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lassp5
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lassp6
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lassp7
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lassp8
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_lassp9
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_laticeps
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_lativentre
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_leichardti
Ireland,Halictidae,Halictinae,Halictini,Lasioglossum_leucopus
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_leucozonium
Spain,Halictidae,Halictinae,Halictini,Lasioglossum_leucozonium
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_leucozonium
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_malachurum
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_malachurum
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_minutissimum
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_morio
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_morio
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_nitidulum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_orbatum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_orbitum
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_pauxillium
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_pauxillum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_platychilum
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_politum
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_politum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_pulvitectum
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_puncticolle
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_qudrinotatum
Australia,Halictidae,Halictinae,Halictini,Lasioglossum_sulthicum
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_villosulum
Ireland,Halictidae,Halictinae,Halictini,Lasioglossum_villosulum
Germany,Halictidae,Halictinae,Halictini,Lasioglossum_xanthopus
Switzerland,Halictidae,Halictinae,Halictini,Lasioglossum_zonulum
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_australica
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_ferricauda
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_flavoviridis
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_lipsp1
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_lipsp10
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_lipsp11
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_lipsp12
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_lipsp3
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_lipsp4
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_lipsp7
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_lipsp8
Australia,Halictidae,Nomiinae,Nomiini,Lipotriches_sp6
Australia,Halictidae,Nomiinae,Nomiini,Nomia_nomsp1
Switzerland,Halictidae,Halictinae,Halictini,Sphecodes_crassus
Germany,Halictidae,Halictinae,Halictini,Sphecodes_ephippius
Switzerland,Halictidae,Halictinae,Halictini,Sphecodes_ephippius
Switzerland,Halictidae,Halictinae,Halictini,Sphecodes_monilllocornis
Spain,Halictidae,Halictinae,Halictini,Sphecodes_sp
Spain,Halictidae,Rophitinae,Rophitini,Systropha_planidens
Germany,Megachilidae,Megachilinae,Anthidini,Anthidium_scapulare
Switzerland,Megachilidae,Megachilinae,Osmiini,Chelostoma_florisomne
Switzerland,Megachilidae,Megachilinae,Osmiini,Chelostoma_rapunculi
Germany,Megachilidae,Megachilinae,Megachilini,Coelioxys_inermis
Spain,Megachilidae,Megachilinae,Osmiini,Heriades_crenulatus
Switzerland,Megachilidae,Megachilinae,Osmiini,Heriades_truncorum
Spain,Megachilidae,Megachilinae,Osmiini,Hoplitis_adunca
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_apicata
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_aurifrons
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_callura
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_captionis
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_chrysopyea
Germany,Megachilidae,Megachilinae,Megachilini,Megachile_ericetorum
Switzerland,Megachilidae,Megachilinae,Megachilini,Megachile_ericetorum
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_heriadiformis
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_maculariformis
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_macularis
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_megbid
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_megsp1
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_megsp2
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_megsp3
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_megsp4
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_micrerythrura
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_oblonga
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_paracallida
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_serricauda
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_simplex
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_tenuicincta
Australia,Megachilidae,Megachilinae,Megachilini,Megachile_turneri
